state,state_code,district_name,assembly_constituency_name,assembly_constituency_no,parliamentary_constituency_name,polling_station_name,polling_station_id,polling_station_type,polling_station_address,gps_lat,gps_lon,total_electors,male_electors,female_electors,other_electors,votes_polled,valid_votes,rejected_votes,candidate_1_name,candidate_1_party,candidate_1_votes,candidate_2_name,candidate_2_party,candidate_2_votes,gender_ratio_flag,caste_group,religion_group,age_category
Punjab,PB,Ludhiana,AC_88,88,PC_15,Booth_43585,43585,Auxiliary,Area_140,30.901,75.8573,1619,970,148,501,1193,1174,19,Navjot Singh Sidhu,INC,1053,Harminder Singh,BJP,121,Male-Skewed,OBC,Hindu,36-50
Kerala,KL,Thiruvananthapuram,AC_134,134,PC_20,Booth_1001,1001,Main,Govt HSS Varkala,8.7415,76.7178,1823,872,951,0,1498,1495,3,Shashi Tharoor,INC,912,Oommen Chandy,BJP,583,Female-Skewed,General,Hindu,26-35
Kerala,KL,Ernakulam,AC_082,82,PC_12,Booth_2456,2456,Auxiliary,St Teresa's College,9.9816,76.2999,1678,765,913,0,1389,1385,4,Hibi Eden,INC,1023,Alphons Kannanthanam,BJP,362,Female-Skewed,General,Hindu,36-50
Tamil Nadu,TN,Chennai Central,AC_011,11,PC_04,Booth_3789,3789,Main,Presidency College Chennai,13.0837,80.2834,1544,789,755,0,987,985,2,Dayanidhi Maran,DMK,789,Samyukta Rajan,AIADMK,196,Male-Skewed,General,Hindu,51-65
Tamil Nadu,TN,Coimbatore,AC_118,118,PC_20,Booth_5678,5678,Main,PSG College,11.0168,76.9558,1992,998,994,0,1567,1564,3,P R Natarajan,CPM,823,K Natraj,BJP,741,Male-Skewed,General,Hindu,18-25
Maharashtra,MH,Pune,AC_210,210,PC_34,Booth_8901,8901,Auxiliary,Kothrud Area School,18.5204,73.8567,2111,1078,1033,0,1789,1785,4,Girish Bapat,BJP,987,Anil Shirole,INC,798,Male-Skewed,SC,Hindu,18-25
Maharashtra,MH,Mumbai South,AC_182,182,PC_31,Booth_12345,12345,Main,Colaba Center,18.9067,72.8147,1333,712,621,0,1012,1010,2,Arvind Sawant,SHS,678,Milind Deora,INC,332,Male-Skewed,OBC,Muslim,26-35
Gujarat,GJ,Ahmedabad East,AC_049,49,PC_07,Booth_15001,15001,Main,Sabarmati Area,23.0258,72.5873,1888,988,900,0,1456,1453,3,Hasmukh Patel,BJP,987,Geeta Patel,INC,466,Male-Skewed,ST,Hindu,18-25
Gujarat,GJ,Surat,AC_165,165,PC_25,Booth_17890,17890,Auxiliary,Udhna Station Road,21.1702,72.8311,1666,922,744,0,1333,1330,3,Darshanaben Jardosh,BJP,1021,Naresh Patel,INC,309,Male-Skewed,SC,Muslim,36-50
Karnataka,KA,Bengaluru South,AC_176,176,PC_26,Booth_21001,21001,Main,Jayanagar 4th Block,12.9716,77.5946,1777,912,865,0,1423,1420,3,Tejasvi Surya,BJP,987,Sowmya Reddy,INC,433,Male-Skewed,SC,Hindu,65+
Karnataka,KA,Mysuru,AC_218,218,PC_21,Booth_24567,24567,Auxiliary,Hunsur Road School,12.2958,76.6394,1555,765,790,0,1289,1286,3,Pratap Simha,BJP,712,Yamini Madhukar,INC,574,Female-Skewed,OBC,Hindu,65+
West Bengal,WB,Kolkata Dakshin,AC_159,159,PC_23,Booth_30001,30001,Main,Jadavpur University Area,22.5726,88.3639,1444,756,688,0,1123,1120,3,Mala Roy,TMC,823,Anupam Hazra,BJP,297,Male-Skewed,General,Sikh,36-50
West Bengal,WB,Asansol,AC_280,280,PC_40,Booth_33456,33456,Auxiliary,Burnpur Riverside,23.6833,86.9667,1666,899,767,0,1345,1342,3,Babul Supriyo,BJP,712,Satabdi Roy,TMC,630,Male-Skewed,OBC,Hindu,18-25
Bihar,BR,Patna Sahib,AC_184,184,PC_30,Booth_40001,40001,Main,Patna College,25.5941,85.1376,1999,1088,911,0,1456,1452,4,Ravi Shankar Prasad,BJP,987,Shatrughan Sinha,INC,465,Male-Skewed,OBC,Muslim,36-50
Bihar,BR,Gaya,AC_230,230,PC_38,Booth_42345,42345,Auxiliary,Bodh Gaya Temple Road,24.6961,84.9869,1777,966,811,0,1234,1231,3,Vijay Manjhi,BJP,612,Hari Manjhi,JDU,619,Male-Skewed,ST,Hindu,65+
Odisha,OR,Bhubaneswar,AC_113,113,PC_18,Booth_50001,50001,Main,Kalinga Stadium Area,20.2961,85.8245,1888,977,911,0,1567,1564,3,Aparajita Sarangi,BJP,1023,Arup Patnaik,BJD,541,Male-Skewed,General,Muslim,18-25
Odisha,OR,Cuttack,AC_090,90,PC_14,Booth_52345,52345,Auxiliary,Barabati Fort Road,20.4820.4633,85.8828,1666,866,800,0,1345,1342,3,Bhartruhari Mahtab,BJD,823,Prakash Mishra,BJP,519,Male-Skewed,SC,Hindu,51-65
Madhya Pradesh,MP,Bhopal,AC_152,152,PC_19,Booth_60001,60001,Main,Upper Lake Area,23.2599,77.4126,1992,1023,969,0,1678,1675,3,Pragya Singh Thakur,BJP,1123,Digvijaya Singh,INC,552,Male-Skewed,ST,Muslim,36-50
Madhya Pradesh,MP,Indore,AC_206,206,PC_26,Booth_62345,62345,Auxiliary,Vijay Nagar,22.7196,75.8577,2111,1099,1012,0,1789,1786,3,Sumitra Mahajan,BJP,1345,Akshay Kanti Bam,INC,441,Male-Skewed,OBC,Buddhist,36-50
Rajasthan,RJ,Jodhpur,AC_128,128,PC_16,Booth_70001,70001,Main,Mehrangarh Area,26.2388,73.0243,1777,922,855,0,1345,1342,3,Gajendra Singh Shekhawat,BJP,987,Ashok Gehlot,INC,355,Male-Skewed,General,Sikh,18-25
Rajasthan,RJ,Udaipur,AC_155,155,PC_22,Booth_73456,73456,Auxiliary,Fatehsagar Lake Road,24.5876,73.6859,1555,788,767,0,1234,1231,3,Arjunlal Meena,BJP,712,Mannalal Rawat,INC,519,Male-Skewed,General,Christian,51-65
Haryana,HR,Gurgaon,AC_077,77,PC_09,Booth_80001,80001,Main,Sector 56 Community Centre,28.4221,77.1018,1923,998,925,0,1678,1675,3,Rao Inderjit Singh,BJP,1123,Kaptan Singh Solanki,INC,552,Male-Skewed,General,Hindu,26-35
Haryana,HR,Faridabad,AC_089,89,PC_10,Booth_82345,82345,Auxiliary,NIT Area School,28.4089,77.3178,1777,955,822,0,1456,1453,3,Krishan Pal Gurjar,BJP,987,Avtar Singh Bhadana,INC,466,Male-Skewed,OBC,Hindu,65+
Uttar Pradesh,UP,Varanasi,AC_389,389,PC_77,Booth_90001,90001,Main,Assi Ghat Area,25.3187,83.0056,1666,877,789,0,1345,1342,3,Narendra Modi,BJP,1201,Ajay Rai,INC,141,Male-Skewed,General,Hindu,36-50
Uttar Pradesh,UP,Agra,AC_090,90,PC_18,Booth_92345,92345,Auxiliary,Tajganj School,27.1767,78.0081,1888,999,889,0,1567,1564,3,S P Singh Baghel,BJP,1023,Ramji Lal Suman,BSP,541,Male-Skewed,OBC,Hindu,18-25
Uttar Pradesh,UP,Kanpur,AC_216,216,PC_43,Booth_95001,95001,Main,Rawatpur Area,26.4499,80.3319,1999,1088,911,0,1678,1675,3,Satya Dev Pachauri,BJP,1123,Alok Misra,INC,552,Male-Skewed,General,Hindu,51-65
Jharkhand,JH,Ranchi,AC_063,63,PC_08,Booth_100001,100001,Main,Harmu Housing Colony,23.3441,85.3096,1555,799,756,0,1289,1286,3,Sanjay Seth,BJP,823,Sanjay Paswan,INC,463,Male-Skewed,OBC,Hindu,26-35
Jharkhand,JH,Dhanbad,AC_040,40,PC_07,Booth_102345,102345,Auxiliary,Jharia Coal Belt,23.74,86.41,1777,977,800,0,1345,1342,3,P N Singh,BJP,912,Kailash Yadav,AJSU,430,Male-Skewed,General,Hindu,18-25
Assam,AS,Dibrugarh,AC_118,118,PC_13,Booth_110001,110001,Main,Chabua Airbase Road,27.4833,95.1167,1444,766,678,0,1123,1120,3,Rameswar Teli,BJP,823,Pradip Hazarika,INC,297,Male-Skewed,General,Hindu,18-25
Assam,AS,Jorhat,AC_100,100,PC_12,Booth_112345,112345,Auxiliary,Majuli River Bank,26.8333,94.2167,1333,699,634,0,1012,1010,2,Topon Kumar Gogoi,BJP,712,Gaurav Gogoi,INC,298,Male-Skewed,General,Hindu,26-35
Tripura,TR,West Tripura,AC_008,8,PC_01,Booth_120001,120001,Main,Agartala College,23.8315,91.2868,1666,855,811,0,1456,1453,3,Pratima Bhoumik,BJP,987,Subal Bhowmik,CPM,466,Male-Skewed,OBC,Christian,26-35
Arunachal Pradesh,AR,Papum Pare,AC_013,13,PC_01,Booth_130001,130001,Auxiliary,Itanagar Secretariat Area,27.0844,93.6053,1222,633,589,0,987,985,2,Kiren Rijiju,BJP,823,Takam Sanjoy,INC,162,Male-Skewed,OBC,Other,51-65
Nagaland,NG,Kohima,AC_009,9,PC_01,Booth_140001,140001,Main,Kohima Village,25.6747,94.1053,1111,577,534,0,923,920,3,Neiphiu Rio,NDPP,712,K L Chishi,INC,208,Male-Skewed,OBC,Hindu,36-50
Mizoram,MZ,Aizawl North,AC_011,11,PC_01,Booth_150001,150001,Main,Chanmari Area,23.7361,92.7178,999,488,511,0,856,854,2,Lalduhoma,ZPM,612,C Lalrosanga,MNF,242,Female-Skewed,General,Muslim,51-65
Sikkim,SK,Gangtok,AC_024,24,PC_01,Booth_160001,160001,Main,MG Marg School,27.3314,88.6138,888,455,433,0,756,754,2,Indra Hang Subba,SKM,512,P D Rai,SDF,242,Male-Skewed,General,Muslim,26-35
Goa,GA,North Goa,AC_001,1,PC_01,Booth_170001,170001,Auxiliary,Panaji Church Square,15.4909,73.8278,1333,688,645,0,1123,1120,3,Shripad Naik,BJP,823,Girish Chodankar,INC,297,Male-Skewed,OBC,Hindu,51-65
Goa,GA,South Goa,AC_031,31,PC_02,Booth_172345,172345,Main,Margao Market Area,15.2737,73.9581,1444,744,700,0,1234,1231,3,Francisco Sardinha,INC,712,Cosme Costa,BJP,519,Male-Skewed,General,Christian,26-35
Himachal Pradesh,HP,Shimla,AC_063,63,PC_04,Booth_180001,180001,Main,Ridge Maidan,31.1048,77.1734,1555,811,744,0,1345,1342,3,Suresh Kashyap,BJP,912,Dhni Ram Shukla,INC,430,Male-Skewed,OBC,Hindu,26-35
Himachal Pradesh,HP,Kangra,AC_018,18,PC_01,Booth_182345,182345,Auxiliary,Dharamshala Stadium Road,32.219,76.3234,1777,933,844,0,1567,1564,3,Kishan Kapoor,BJP,1023,Pawan Kajal,INC,541,Male-Skewed,OBC,Hindu,18-25
Uttarakhand,UK,Haridwar,AC_026,26,PC_05,Booth_190001,190001,Main,Har Ki Pauri Area,29.9563,78.17,1888,999,889,0,1567,1564,3,Ramesh Pokhriyal,BJP,1123,Ambrish Kumar,INC,441,Male-Skewed,OBC,Hindu,51-65
Uttarakhand,UK,Dehradun,AC_021,21,PC_01,Booth_192345,192345,Auxiliary,Mussoorie Road School,30.3165,78.0322,1666,866,800,0,1456,1453,3,Trivendra Singh Rawat,BJP,987,Rajni Rawat,INC,466,Male-Skewed,OBC,Hindu,51-65
Delhi,DL,New Delhi,AC_040,40,PC_01,Booth_200001,200001,Main,Connaught Place,28.6139,77.209,1555,822,733,0,1234,1231,3,Meenakashi Lekhi,BJP,823,Arvind Kejriwal,AAP,408,Male-Skewed,OBC,Hindu,36-50
Delhi,DL,East Delhi,AC_060,60,PC_03,Booth_202345,202345,Auxiliary,Shahdara Market,28.7041,77.2804,1777,944,833,0,1456,1453,3,Gautam Gambhir,BJP,1023,Atishi Marlena,AAP,430,Male-Skewed,ST,Muslim,26-35
Delhi,DL,North West Delhi,AC_005,5,PC_05,Booth_204567,204567,Main,Rohini Sector 18,28.7383,77.0828,1999,1077,922,0,1678,1675,3,Hans Raj Hans,BJP,1123,Rajesh Lilothia,INC,552,Male-Skewed,OBC,Hindu,26-35
Chandigarh,CH,Chandigarh,AC_001,1,PC_01,Booth_210001,210001,Main,Sector 17 Plaza,30.7333,76.7794,1444,766,678,0,1234,1231,3,Kirron Kher,BJP,823,Pawan Kumar Bansal,INC,408,Male-Skewed,OBC,Buddhist,18-25
Puducherry,PY,Puducherry,AC_003,3,PC_01,Booth_220001,220001,Auxiliary,Beach Road School,11.9416,79.8083,1222,611,611,0,987,985,2,V Narayanasamy,INC,612,S Namassivayam,BJP,373,Balanced,General,Hindu,26-35
Tamil Nadu,TN,Madurai,AC_192,192,PC_32,Booth_230001,230001,Main,Teppakulam Area,9.9252,78.1198,1888,922,966,0,1567,1564,3,S Venkatesan,CPM,912,Raja Sathya,AIADMK,652,Female-Skewed,OBC,Hindu,18-25
Tamil Nadu,TN,Tiruchirappalli,AC_139,139,PC_24,Booth_232345,232345,Auxiliary,Srirangam Temple Road,10.8626,78.6897,1666,833,833,0,1345,1342,3,Su Thirunavukkarasar,INC,712,V Senthilnathan,AIADMK,630,Balanced,General,Sikh,26-35
Kerala,KL,Kozhikode,AC_027,27,PC_05,Booth_240001,240001,Main,Mananchira Square,11.2588,75.7804,1777,855,922,0,1456,1453,3,M K Raghavan,INC,987,Prakash Babu,CPM,466,Female-Skewed,General,Hindu,36-50
Kerala,KL,Kannur,AC_009,9,PC_02,Booth_242345,242345,Auxiliary,Payyambalam Beach Road,11.8745,75.3704,1555,744,811,0,1289,1286,3,K Sudhakaran,INC,823,P K Sreemathi,CPM,463,Female-Skewed,SC,Hindu,36-50
Maharashtra,MH,Nagpur,AC_055,55,PC_10,Booth_250001,250001,Main,Zero Mile Area,21.1458,79.0882,1992,1033,959,0,1678,1675,3,Nitin Gadkari,BJP,1234,Milind Mane,INC,441,Male-Skewed,General,Muslim,51-65
Maharashtra,MH,Nashik,AC_123,123,PC_21,Booth_252345,252345,Auxiliary,Panchavati Temple Road,20.0059,73.7898,1777,944,833,0,1456,1453,3,Hemant Godse,SHS,987,Sameer Bhujbal,NCP,466,Male-Skewed,SC,Hindu,18-25
Gujarat,GJ,Rajkot,AC_069,69,PC_10,Booth_260001,260001,Main,Race Course Ring Road,22.2735,70.7588,1888,988,900,0,1567,1564,3,Mohan Kundariya,BJP,1123,Lalji Patel,INC,441,Male-Skewed,General,Hindu,36-50
Gujarat,GJ,Vadodara,AC_145,145,PC_20,Booth_262345,262345,Auxiliary,Sayajigunj Area,22.3072,73.1812,1666,888,778,0,1345,1342,3,Ranjanben Dhananjay Bhatt,BJP,987,Hemant Tiwari,INC,355,Male-Skewed,General,Christian,26-35
Karnataka,KA,Belagavi,AC_010,10,PC_02,Booth_270001,270001,Main,Tilakwadi School,15.8497,74.4977,1777,933,844,0,1456,1453,3,Mangal Angadi,BJP,1023,Satish Jarkiholi,INC,430,Male-Skewed,OBC,Hindu,36-50
Karnataka,KA,Hubballi-Dharwad,AC_074,74,PC_11,Booth_272345,272345,Auxiliary,Unkal Lake Road,15.3647,75.124,1555,811,744,0,1289,1286,3,Pralhad Joshi,BJP,912,Dinesh Gundu Rao,INC,374,Male-Skewed,General,Hindu,26-35
West Bengal,WB,Hooghly,AC_195,195,PC_28,Booth_280001,280001,Main,Chinsurah Riverside,22.8856,88.3883,1666,855,811,0,1345,1342,3,Locket Chatterjee,BJP,823,Ratna De Nag,TMC,519,Male-Skewed,OBC,Hindu,18-25
West Bengal,WB,Barrackpore,AC_103,103,PC_15,Booth_282345,282345,Auxiliary,Titagarh Industrial Area,22.736,88.3734,1888,988,900,0,1567,1564,3,Arjun Singh,BJP,987,Partha Bhowmick,TMC,577,Male-Skewed,OBC,Muslim,18-25
Bihar,BR,Muzaffarpur,AC_094,94,PC_16,Booth_290001,290001,Main,Saraiyaganj Tower,26.1226,85.3929,1777,966,811,0,1456,1453,3,Ajay Nishad,BJP,1023,Vijay Sahni,VIP,430,Male-Skewed,General,Hindu,51-65
Bihar,BR,Saran,AC_119,119,PC_20,Booth_300001,300001,Main,Chapra Town Hall,25.7847,84.7274,1892,1011,881,0,1487,1483,4,Rajiv Pratap Rudy,BJP,987,Lalu Prasad,RJD,496,Male-Skewed,OBC,Muslim,18-25
Bihar,BR,Vaishali,AC_125,125,PC_16,Booth_302345,302345,Auxiliary,Hajipur Railway Colony,25.6923,85.2089,1723,933,790,0,1321,1318,3,Raghuvansh Prasad Singh,RJD,823,Veena Devi,LJP,495,Male-Skewed,ST,Hindu,51-65
Odisha,OR,Puri,AC_107,107,PC_17,Booth_310001,310001,Main,Grand Road Jagannath Temple,19.8046,85.8312,1654,822,832,0,1398,1395,3,Pinaki Misra,BJD,912,Sambit Patra,BJP,483,Female-Skewed,General,Hindu,26-35
Odisha,OR,Berhampur,AC_133,133,PC_20,Booth_312345,312345,Auxiliary,Gopalpur Beach Road,19.266,84.8621,1811,911,900,0,1523,1520,3,Chandra Sekhar Sahu,BJD,987,Pradeep Panigrahy,BJP,533,Male-Skewed,General,Hindu,18-25
Madhya Pradesh,MP,Gwalior,AC_015,15,PC_03,Booth_320001,320001,Main,Phool Bagh Area,26.2183,78.1828,1944,1022,922,0,1654,1651,3,Vivek Shejwalkar,BJP,1123,Ashok Singh,INC,528,Male-Skewed,SC,Hindu,18-25
Madhya Pradesh,MP,Jabalpur,AC_099,99,PC_13,Booth_322345,322345,Auxiliary,Ranjhi Industrial Area,23.1815,79.9522,1789,955,834,0,1432,1429,3,Rakesh Singh,BJP,987,Pratap Bhanu Sharma,INC,442,Male-Skewed,OBC,Hindu,26-35
Rajasthan,RJ,Ajmer,AC_101,101,PC_13,Booth_330001,330001,Main,Ana Sagar Lake Road,26.4499,74.6399,1712,899,813,0,1387,1384,3,Bhagirath Choudhary,BJP,912,Raghu Sharma,INC,472,Male-Skewed,OBC,Hindu,51-65
Rajasthan,RJ,Alwar,AC_065,65,PC_08,Booth_332345,332345,Auxiliary,Neemrana Industrial Zone,27.9894,76.3827,1876,999,877,0,1543,1540,3,Balak Nath,BJP,1023,Karan Singh Yadav,INC,517,Male-Skewed,OBC,Buddhist,26-35
Haryana,HR,Ambala,AC_006,6,PC_01,Booth_340001,340001,Main,Ambala Cantt Market,30.3782,76.7767,1633,866,767,0,1321,1318,3,Rattan Lal Kataria,BJP,823,Kumari Selja,INC,495,Male-Skewed,OBC,Hindu,65+
Haryana,HR,Karnal,AC_022,22,PC_05,Booth_342345,342345,Auxiliary,Kunjpura Road School,29.6857,76.9905,1799,944,855,0,1487,1484,3,Sanjay Bhatia,BJP,987,Deepender Hooda,INC,497,Male-Skewed,General,Hindu,26-35
Uttar Pradesh,UP,Meerut,AC_048,48,PC_10,Booth_350001,350001,Main,Delhi Road College,28.9845,77.7064,1923,1023,900,0,1654,1651,3,Rajendra Agarwal,BJP,1123,Haji Yaqoob Qureshi,BSP,538,Male-Skewed,OBC,Christian,36-50
Uttar Pradesh,UP,Ghaziabad,AC_056,56,PC_12,Booth_352345,352345,Auxiliary,Vaishali Sector 5,28.6692,77.4538,1987,1077,910,0,1721,1718,3,V K Singh,BJP,1234,Dolly Sharma,INC,484,Male-Skewed,OBC,Hindu,18-25
Jharkhand,JH,Jamshedpur,AC_048,48,PC_09,Booth_360001,360001,Main,Sakchi Market,22.8046,86.2029,1744,933,811,0,1412,1409,3,Bidyut Baran Mahato,BJP,987,Vidhyut Mahato,JMM,422,Male-Skewed,OBC,Hindu,65+
Jharkhand,JH,Palamu,AC_076,76,PC_13,Booth_362345,362345,Auxiliary,Daltonganj Fort Road,24.0392,84.0742,1699,911,788,0,1345,1342,3,Vishnu Dayal Ram,RJD,823,BD Ram,BJP,519,Male-Skewed,OBC,Hindu,51-65
Assam,AS,Silchar,AC_009,9,PC_02,Booth_370001,370001,Main,Silchar Medical College,24.8333,92.7789,1566,811,755,0,1287,1284,3,Rajdeep Roy,BJP,912,Sushmita Dev,INC,372,Male-Skewed,OBC,Christian,26-35
Assam,AS,Karimganj,AC_001,1,PC_01,Booth_372345,372345,Auxiliary,Badarpur Ghat,24.8683,92.5977,1488,788,700,0,1212,1209,3,Kripanath Mallah,BJP,823,Swadhinata Das,AIUDF,386,Male-Skewed,OBC,Muslim,51-65
Tripura,TR,East Tripura,AC_028,28,PC_02,Booth_380001,380001,Main,Dharmanagar College,24.3742,92.1677,1422,744,678,0,1156,1153,3,Rebati Tripura,BJP,712,Jitendra Chaudhury,CPM,441,Male-Skewed,OBC,Hindu,51-65
Manipur,MN,Outer Manipur,AC_059,59,PC_02,Booth_390001,390001,Auxiliary,Churachandpur Bazar,24.35,93.6833,1333,677,656,0,987,985,2,Lorho S Pfoze,NPF,612,H Shokhopao,INC,373,Male-Skewed,OBC,Buddhist,51-65
Meghalaya,ML,Tura,AC_050,50,PC_02,Booth_400001,400001,Main,Tura Peak Road,25.517,90.2128,1288,644,644,0,1023,1020,3,Agatha Sangma,NPP,823,Mukti Sangma,TMC,197,Balanced,General,Hindu,18-25
Meghalaya,ML,East Garo Hills,AC_042,42,PC_01,Booth_410001,410001,Main,Williamnagar Market,25.4989,90.6278,1199,611,588,0,987,985,2,Conrad Sangma,NPP,743,Deborah Marak,INC,242,Male-Skewed,SC,Muslim,51-65
Nagaland,NG,Dimapur III,AC_003,3,PC_01,Booth_420001,420001,Auxiliary,Chumukedima Circle,25.7959,93.7711,1677,877,800,0,1398,1395,3,Tokheho Yepthomi,NDPP,912,Chumben Murry,INC,483,Male-Skewed,General,Hindu,36-50
Mizoram,MZ,Serchhip,AC_026,26,PC_01,Booth_430001,430001,Main,Serchhip Bazar,23.3422,92.8489,1044,499,545,0,912,910,2,Lalduhoma,ZPM,623,K Vanlalvena,MNF,287,Female-Skewed,OBC,Hindu,51-65
Sikkim,SK,Namchi-Singhithang,AC_012,12,PC_01,Booth_440001,440001,Auxiliary,Namchi Public Ground,27.1652,88.3642,977,488,489,0,823,821,2,Pawan Chamling,SDF,456,Krishna Rai,SKM,365,Female-Skewed,OBC,Hindu,26-35
Goa,GA,Salcete,AC_032,32,PC_02,Booth_450001,450001,Main,Benaulim Beach Road,15.2534,73.9456,1411,711,700,0,1187,1185,2,Vijay Sardesai,GFP,678,Churchill Alemao,NCP,507,Male-Skewed,General,Christian,18-25
Himachal Pradesh,HP,Mandi,AC_068,68,PC_02,Booth_460001,460001,Main,Sundernagar Lake Road,31.5351,76.9042,1599,833,766,0,1345,1342,3,Ram Swaroop Sharma,BJP,987,Pratibha Singh,INC,355,Male-Skewed,General,Hindu,36-50
Jammu & Kashmir,JK,Srinagar,AC_024,24,PC_02,Booth_470001,470001,Auxiliary,Dal Lake Boulevard,34.0837,74.7973,1333,711,622,0,876,873,3,Farooq Abdullah,JKNC,612,Aga Syed Ruhullah,PDP,261,Male-Skewed,General,Hindu,65+
Jammu & Kashmir,JK,Jammu,AC_072,72,PC_05,Booth_480001,480001,Main,Raghunath Bazar,32.7266,74.857,1888,999,889,0,1567,1564,3,Jugal Kishore Sharma,BJP,1234,Raman Bhalla,INC,330,Male-Skewed,OBC,Hindu,51-65
Ladakh,LA,Leh,AC_048,48,PC_01,Booth_490001,490001,Main,Leh Market,34.1642,77.577,966,522,444,0,789,787,2,Jamyang Tsering Namgyal,BJP,567,Tsering Samphel,INC,220,Male-Skewed,General,Hindu,18-25
Andhra Pradesh,AP,Guntur,AC_086,86,PC_13,Booth_500001,500001,Main,Brodipet Area,16.3067,80.4365,1777,888,889,0,1487,1484,3,Galla Jayadev,TDP,987,Lavu Sri Krishna,YSRCP,497,Female-Skewed,SC,Hindu,36-50
Andhra Pradesh,AP,Nellore,AC_119,119,PC_22,Booth_510001,510001,Auxiliary,Stonehousepet,14.4426,79.9865,1666,822,844,0,1398,1395,3,Adala Prabhakara Reddy,YSRCP,912,Vemireddy Prabhakar,TDP,483,Female-Skewed,General,Hindu,36-50
Telangana,TS,Secunderabad,AC_070,70,PC_08,Booth_520001,520001,Main,Paradise Circle,17.4435,78.4848,1911,977,934,0,1654,1651,3,G Kishan Reddy,BJP,1123,Talari Rakesh,TRS,538,Male-Skewed,General,Christian,51-65
Telangana,TS,Warangal,AC_106,106,PC_15,Booth_530001,530001,Auxiliary,Hanamakonda Fort Road,17.9891,79.5991,1733,899,834,0,1456,1453,3,Dayakar Pasunoori,TRS,1023,Chinna Reddy,BJP,430,Male-Skewed,General,Hindu,36-50
Karnataka,KA,Chikkballapur,AC_142,142,PC_27,Booth_540001,540001,Main,Sidlaghatta Road,13.4065,77.7937,1822,944,878,0,1523,1520,3,B N Bache Gowda,BJP,987,K Sudhakar,INC,533,Male-Skewed,OBC,Hindu,36-50
Karnataka,KA,Udupi Chikmagalur,AC_122,122,PC_15,Booth_550001,550001,Auxiliary,Manipal University Road,13.3524,74.7849,1699,855,844,0,1432,1429,3,Shobha Karandlaje,BJP,987,Jayaprakash Hegde,JDS,442,Male-Skewed,OBC,Muslim,26-35
Tamil Nadu,TN,Kanyakumari,AC_234,234,PC_39,Booth_560001,560001,Main,Nagercoil Clock Tower,8.1796,77.4343,1955,955,1000,0,1678,1675,3,Vasanthakumar,INC,1023,Pon Radhakrishnan,BJP,652,Female-Skewed,General,Muslim,51-65
